x,y1,y2,y3,y4
-14.7,-8.679532,-9524.557,-0.21152459,-0.31794605
-14.6,-9.310025,-9331.094,-0.43806356,-0.70522404
-14.5,-9.473822,-9140.82,-0.37614736,-0.981925
-14.4,-9.063346,-8952.708,-0.60721177,-0.9929947
-14.3,-9.197118,-8767.715,-0.05231853,-1.0864286
-14.2,-9.211306,-8584.771,0.18377756,-1.2285656
-14.1,-9.454118,-8404.31,0.07226396,-1.2105411
-14.0,-9.285018,-8226.926,0.4762033,-1.2379287
-13.9,-8.686837,-8052.3555,0.57850754,-1.0600983
-13.8,-8.642784,-7878.784,0.50093615,-1.0453763
-13.7,-9.286621,-7709.1577,0.8413223,-1.5208437
-13.6,-9.135685,-7541.134,0.8160828,-1.5784323
-13.5,-9.572043,-7376.2,0.2621559,-1.6372796
-13.4,-9.083081,-7213.026,0.5819968,-1.6963085
-13.3,-9.428978,-7052.559,0.3919165,-1.1394769
-13.2,-9.051247,-6895.3447,0.5309305,-1.7985911
-13.1,-9.369575,-6739.1743,0.45738915,-1.3677176
-13.0,-9.564468,-6586.1265,1.284244,-1.3105181
-12.9,-9.563618,-6435.141,0.6136499,-0.8208814
-12.8,-10.069632,-6286.156,0.38922834,-1.4346997
-12.7,-9.826812,-6140.3994,1.0453025,-0.9991892
-12.6,-10.232675,-5995.733,1.1977307,-1.0311205
-12.5,-10.429009,-5854.013,0.6397344,-1.1508032
-12.4,-10.20198,-5714.8745,1.0347345,-0.44716752
-12.3,-10.300764,-5578.0527,0.41634762,-0.4467108
-12.2,-10.370103,-5442.6973,0.5685406,-0.9566278
-12.1,-10.213521,-5309.953,0.5692718,-0.4579286
-12.0,-10.250489,-5178.729,0.46750516,-0.5917032
-11.9,-10.514554,-5050.001,0.2816015,-0.15900238
-11.8,-10.397129,-4924.2363,0.4620849,-0.20818934
-11.7,-10.687316,-4800.2646,1.0813779,0.18791667
-11.6,-11.304616,-4678.1226,0.65977347,0.7108749
-11.5,-11.143567,-4557.6577,0.21980438,0.70738804
-11.4,-11.396753,-4439.6465,0.39155313,1.0136836
-11.3,-10.739783,-4323.312,0.5470402,1.0811071
-11.2,-11.360181,-4210.2695,-0.07027697,1.1745465
-11.1,-11.119104,-4098.129,-0.21625265,0.7273832
-11.0,-11.249635,-3988.4583,0.18324324,1.3673015
-10.9,-11.146346,-3880.262,-0.08763957,1.3522044
-10.8,-11.235671,-3773.7844,0.067103654,1.5972992
-10.7,-10.677556,-3669.757,0.013657444,0.7582095
-10.6,-10.930965,-3568.075,-0.57419854,1.1547827
-10.5,-11.045284,-3467.5105,-0.4056645,1.546619
-10.4,-10.819251,-3369.9304,-0.13134462,1.2607989
-10.3,-10.472266,-3272.9338,-0.83723295,1.0758758
-10.2,-10.691492,-3178.6924,-0.47790322,1.8218031
-10.1,-10.275573,-3085.4417,-0.35420075,1.7623848
-10.0,-10.2091,-2994.5916,-0.6380141,1.0431085
-9.9,-10.51975,-2905.752,-0.69309413,1.1721387
-9.8,-10.855777,-2818.4644,-1.0525539,0.8010214
-9.7,-10.723127,-2732.6152,-0.68955475,0.851726
-9.6,-10.457612,-2649.559,-0.67681986,0.755532
-9.5,-10.472884,-2567.084,-0.5372781,0.88201755
-9.4,-10.251945,-2487.0288,-0.9655011,1.3218292
-9.3,-9.905349,-2407.711,-0.9510113,0.9690584
-9.2,-10.03528,-2331.0964,-1.0720102,0.8037292
-9.1,-9.706029,-2255.4678,-0.5312606,0.3432136
-9.0,-9.74098,-2181.513,-0.76489305,0.18622158
-8.9,-9.2534485,-2110.2341,-0.44025317,0.39624906
-8.8,-9.664817,-2039.5271,-0.3897265,-0.12970121
-8.7,-9.302006,-1970.5109,-0.2785242,-0.14037068
-8.6,-8.994771,-1902.8635,-0.60827327,-0.3505463
-8.5,-8.858224,-1837.7156,-0.14443718,-0.45867446
-8.4,-8.791487,-1772.8208,-0.7107661,-0.37041214
-8.3,-8.8359995,-1710.8215,0.025603112,-0.32521686
-8.2,-8.756508,-1648.9321,-0.79902154,-0.22163214
-8.1,-9.07773,-1589.7838,-0.71136314,-0.300493
-8.0,-8.660398,-1531.4504,-0.32588437,-0.68813807
-7.9,-8.58166,-1474.0121,-0.16615033,-0.8583395
-7.8,-9.47725,-1418.3639,0.12155201,-1.5286627
-7.7,-9.00338,-1364.6572,0.23103142,-1.2872807
-7.6,-9.496076,-1312.0018,0.7265194,-1.0394611
-7.5,-8.705589,-1260.4307,0.81882095,-1.0389804
-7.4,-8.731059,-1210.909,0.067566074,-0.872936
-7.3,-8.664051,-1161.8667,0.6055211,-1.1445949
-7.2,-8.761111,-1114.5214,0.31514248,-1.1605151
-7.1,-8.80227,-1068.2756,0.86808145,-1.0774269
-7.0,-9.504986,-1024.4945,0.48203605,-1.7668873
-6.9,-9.835394,-980.61206,1.1150182,-1.2613895
-6.8,-9.10495,-938.64746,0.42552343,-1.644456
-6.7,-9.546741,-897.2915,0.791973,-1.5461756
-6.6,-9.939576,-857.0102,1.2904996,-1.1123296
-6.5,-9.373925,-819.01245,1.1336901,-1.3037684
-6.4,-10.367879,-781.6086,0.3405562,-1.2694062
-6.3,-9.593533,-744.8568,0.7152338,-1.2326434
-6.2,-9.928979,-710.0112,1.0653048,-1.3636031
-6.1,-10.412158,-675.61536,0.547923,-0.8867737
-6.0,-10.39804,-642.75696,0.8807841,-0.22371443
-5.9,-10.519778,-610.995,0.44446522,-0.44018745
-5.8,-10.668149,-579.9589,0.8872295,-0.5102972
-5.7,-10.533458,-550.4246,0.64343905,0.078007944
-5.6,-10.565308,-521.43475,0.8338591,-0.5996245
-5.5,-11.017747,-494.2298,1.1050122,0.17096332
-5.4,-10.8466425,-467.65924,0.7926022,0.1364646
-5.3,-10.526161,-442.10684,0.14848827,0.20508988
-5.2,-11.051834,-416.79785,0.41054988,0.52791244
-5.1,-11.246656,-392.68674,0.28194508,0.2092441
-5.0,-11.044765,-369.5899,-0.16896264,0.9132005
-4.9,-11.348211,-347.51794,-0.16600025,1.0395544
-4.8,-11.07956,-326.97464,0.24665947,1.258498
-4.7,-11.369542,-306.66187,-0.16715857,1.3015645
-4.6,-10.703002,-287.2612,0.23086673,1.4879031
-4.5,-11.169008,-268.2703,-0.39503586,1.0959003
-4.4,-10.563525,-250.47742,-0.5416084,1.4751948
-4.3,-10.922282,-233.27248,-0.16318561,1.7686703
-4.2,-11.248143,-217.4266,-0.2532619,1.4019303
-4.1,-10.767375,-201.39865,-0.4789555,1.7630768
-4.0,-10.413412,-187.1808,-0.3432635,1.8255006
-3.9,-10.292823,-173.15544,-0.42329738,1.1731822
-3.8,-10.49032,-159.44849,-1.108554,1.0033382
-3.7,-10.963632,-146.89337,-1.0036855,1.1554072
-3.6,-10.32696,-134.82549,-0.82348806,0.8456336
-3.5,-10.091327,-123.82892,-0.8206742,1.1833744
-3.4,-10.550546,-112.659134,-0.5564392,0.85594004
-3.3,-10.449877,-103.30784,-0.6065735,1.1194906
-3.2,-9.920466,-93.39523,-1.2309593,1.1919566
-3.1,-9.564808,-84.24711,-1.0352515,1.0651625
-3.0,-9.982966,-75.77678,-1.3106261,0.8379135
-2.9,-10.059146,-68.51012,-0.3728537,1.1910322
-2.8,-10.020405,-60.364853,-0.43090442,1.0736969
-2.7,-10.004625,-54.334743,-0.5623327,0.10219195
-2.6,-9.232402,-47.545498,-0.96306634,0.75577766
-2.5,-9.187786,-41.659462,-0.6323927,0.6247357
-2.4,-9.752374,-36.839863,-0.6596331,0.46455976
-2.3,-9.218168,-31.915787,-0.42379054,-0.309099
-2.2,-9.28189,-27.072441,-0.56472564,-0.5716688
-2.1,-8.920429,-22.484045,-0.67686534,-0.0446748
-2.0,-8.796131,-18.559664,-0.40940884,-0.48877436
-1.9,-9.489033,-15.325053,-0.11320039,-0.6693187
-1.8,-8.709,-12.068455,-0.022572776,-0.8811254
-1.7,-8.855212,-9.531262,0.19121139,-0.6590906
-1.6,-8.92164,-7.6046696,-0.3238423,-0.6821686
-1.5,-9.311339,-4.9217973,0.5097622,-1.2542294
-1.4,-9.053398,-3.6059492,-0.052521117,-1.1566126
-1.3,-8.931578,-1.1351377,0.13094702,-0.9846719
-1.2,-9.308046,-0.5819572,0.7439806,-1.329652
-1.1,-9.219953,0.62631196,0.5721618,-0.86163014
-1.0,-9.036334,1.9400083,0.5741769,-1.6744996
-0.9,-9.438127,2.7884002,0.9200764,-1.1449287
-0.8,-8.988807,3.2893794,1.059661,-1.5084
-0.7,-9.326553,3.5993655,0.4272104,-1.3088255
-0.6,-9.425091,4.7184486,0.44005778,-1.7908627
-0.5,-9.5461,4.754574,0.37226868,-1.8126527
-0.4,-9.884753,4.579239,1.2046933,-1.64075
-0.3,-9.274768,4.776395,0.53195274,-1.41178
-0.2,-9.974545,4.986498,1.2083606,-0.68266624
-0.1,-10.029026,5.397387,0.5776732,-1.1198202
2.842171e-13,-10.093985,4.8497624,1.2249563,-1.3354344
0.1,-10.003635,4.939213,0.42056563,-0.6415107
0.2,-9.976421,5.0146604,0.8774617,-0.7504254
0.3,-10.028282,5.289507,1.185829,-0.9044544
0.4,-10.331795,5.374126,0.49817002,-1.0291432
0.5,-10.114996,5.231838,0.5171923,-0.87783283
0.6,-10.512119,5.1509385,1.0468774,-0.5829448
0.7,-10.696182,6.10857,0.93089354,-0.023780487
0.8,-10.458265,6.880928,0.47436443,-0.19806512
0.9,-11.091478,7.5784426,0.5657387,-0.13693799
1.0,-10.731745,8.381729,0.5094336,0.3940871
1.1,-10.469538,8.617563,0.71613425,0.722826
1.2,-10.844508,10.47026,0.31352305,0.36673743
1.3,-10.764826,11.991545,-0.15296365,0.48753816
1.4,-10.5843525,12.85536,0.07569041,0.9805443
1.5,-11.495405,14.720955,0.55422056,1.0809697
1.6,-10.926857,17.69294,0.315669,0.5893065
1.7,-11.379071,19.38493,-0.24841726,0.8101437
1.8,-10.553898,22.950634,-0.39718798,1.0406214
1.9,-11.438596,25.231972,-0.7027177,1.1630595
2.0,-10.736366,28.912899,-0.18162556,0.9054169
2.1,-10.813978,32.63242,-0.66964227,0.94278425
2.2,-11.191826,36.670155,-0.3405511,1.509619
2.3,-10.523448,41.636635,-0.55098474,1.1118864
2.4,-11.026592,46.82363,-1.033297,1.6956719
2.5,-10.390319,52.322742,-1.1761342,0.9195383
2.6,-10.543485,58.11609,-1.0917782,1.5071766
2.7,-10.841173,63.732643,-0.66313934,1.826985
2.8,-10.271249,70.56972,-1.2197828,1.5198272
2.9,-10.521404,78.6058,-0.8542752,0.94480276
3.0,-10.599689,85.682,-1.2398082,1.3328694
3.1,-9.9705,94.34929,-0.46717453,1.2598035
3.2,-10.170259,102.887535,-0.5578741,1.1086422
3.3,-9.50857,113.26772,-0.7264946,0.8364921
3.4,-9.585719,122.634895,-0.67323995,0.26183328
3.5,-9.701268,133.95158,-0.7451839,0.7596037
3.6,-9.23912,145.32823,-0.91315395,0.64522445
3.7,-9.698619,156.71442,-0.6735722,-0.054067455
3.8,-9.58792,169.97691,-0.5641998,-0.045316137
3.9,-9.343548,182.5729,-0.34698054,0.0035314828
4.0,-8.889105,196.52046,-0.7190841,-0.4622355
4.1,-9.208861,211.43074,-0.5989962,-0.3177051
4.2,-8.660659,227.47699,-0.16267683,-0.85418886
4.3,-9.5606785,243.54765,-0.4896514,-0.048930995
4.4,-8.67364,260.89017,-0.44433147,-0.53330433
4.5,-8.8990555,278.77036,-0.23868008,-0.6475984
4.6,-8.696883,296.82407,-0.21052992,-0.50992495
4.7,-8.97747,316.7372,0.2525238,-0.74142116
4.8,-8.897914,337.0164,0.5520086,-0.7610342
4.9,-9.459041,358.24228,0.29864624,-1.2405694
5.0,-9.206961,379.54413,-0.04562829,-0.9031558
5.1,-8.652958,403.21646,0.8012873,-1.5664421
5.2,-9.365872,426.9378,0.225386,-1.1112753
5.3,-8.869652,451.69962,0.55761766,-1.6622003
5.4,-9.64193,477.24744,0.47978586,-1.2472284
5.5,-8.896681,504.42737,0.5307036,-1.0709352
5.6,-9.3411045,532.3146,0.3104584,-1.5625643
5.7,-9.495044,560.15985,0.8627288,-1.0059797
5.8,-9.815375,589.93097,1.0719494,-1.4424801
5.9,-9.293398,620.96765,1.049194,-1.2208616
6.0,-9.920309,653.4933,1.2773558,-1.631018
6.1,-10.298143,685.48737,0.48530743,-1.5053618
6.2,-9.569824,719.9819,0.44247472,-1.5701442
6.3,-10.29028,755.00446,0.6693324,-0.5111067
6.4,-10.509715,791.15405,1.2937849,-0.40648767
6.5,-10.265684,829.12274,1.2824448,-1.0523335
6.6,-10.12925,867.5524,1.1655885,-0.6192468
6.7,-10.0955715,907.38873,0.9626652,-0.07324669
6.8,-10.021324,947.9665,0.30089268,-0.83372194
6.9,-10.241409,990.5014,1.0588738,-0.03772414
7.0,-10.417424,1033.6007,0.8121931,0.3169235
7.1,-10.492391,1078.8705,0.21500143,0.45110264
7.2,-10.806283,1124.9694,0.5493955,0.29094526
7.3,-10.670272,1171.8944,0.25922713,0.62404877
7.4,-10.570434,1220.632,-0.07120868,0.61965394
7.5,-10.548129,1270.9702,0.35569283,0.49788794
7.6,-11.220542,1321.9796,0.296267,0.6109706
7.7,-10.7792425,1374.7739,0.4728738,0.47211117
7.8,-10.694837,1428.3499,0.13580601,1.1196358
7.9,-10.653199,1483.8636,0.17344476,1.485619
8.0,-10.615577,1540.5544,0.34462833,0.71094507
8.1,-11.404187,1599.4778,-0.59040713,0.99920046
8.2,-10.556711,1658.6926,-0.07408603,0.9647266
8.3,-10.788901,1719.8689,-0.6186244,1.0753894
8.4,-10.582685,1783.3295,-0.36736944,1.4565378
8.5,-11.036773,1847.414,-0.31203252,0.9323633
8.6,-10.650384,1913.4147,-0.5813461,1.4384258
8.7,-10.991936,1980.1073,-0.25518838,1.0786557
8.8,-10.874102,2049.2231,-0.51988024,1.7305145
8.9,-10.541025,2119.8972,-0.9090565,1.0444878
9.0,-10.336769,2192.1584,-0.47822207,1.2414017
9.1,-10.282617,2266.194,-0.48698822,0.95600784
9.2,-9.817154,2341.523,-0.83360904,1.5267129
9.3,-9.671962,2418.373,-1.2844874,1.2113601
9.4,-10.328778,2496.8032,-0.6700373,0.6497161
9.5,-9.433693,2577.6147,-0.9994207,0.8418413
9.6,-10.019944,2659.129,-0.5327056,0.40282187
9.7,-9.439271,2742.6304,-0.5518366,0.7398685
9.8,-9.17233,2828.6191,-1.0029428,0.8007659
9.9,-9.794649,2915.8774,-1.2196206,0.42642513
10.0,-9.1090355,3005.4329,-0.54133624,-0.18780835
10.1,-9.653072,3095.889,-0.73942053,-0.33885038
10.2,-9.10485,3188.9143,-0.7352205,-0.4502263
10.3,-9.313456,3283.5881,-0.6159435,-0.4026837
10.4,-8.81642,3379.0999,-0.44193456,-0.0953741
10.5,-8.803199,3478.0398,-0.8945944,-0.55942214
10.6,-8.857177,3578.363,-0.62214094,-0.4332676
10.7,-9.444517,3680.5269,0.07420945,-0.3457318
10.8,-8.625365,3784.1265,-0.04745834,-0.5297545
10.9,-9.422798,3890.401,0.090669535,-0.6402818
11.0,-8.841048,3998.489,0.06575385,-0.5431321
11.1,-8.7563715,4107.5977,0.5200925,-0.81077254
11.2,-8.823935,4220.139,0.48424402,-0.8341237
11.3,-9.4801655,4334.1597,-0.1990997,-1.1366335
11.4,-9.242062,4449.6665,0.39982802,-1.135564
11.5,-9.39457,4567.8896,0.09291865,-1.5597351
11.6,-8.679365,4687.753,0.08460871,-1.7493817
11.7,-9.346828,4809.7993,1.0417808,-1.856701
11.8,-9.43497,4934.3623,0.2245967,-1.3031939
11.9,-9.053143,5060.4546,0.21345134,-1.8924844
12.0,-9.424446,5188.6133,1.1334994,-1.4902738
12.1,-9.364306,5319.6475,1.0830353,-1.772724
12.2,-9.389232,5452.7056,0.9472718,-1.3146987
12.3,-10.217992,5587.6494,1.1932459,-1.561039
12.4,-10.038542,5725.132,1.0658634,-0.8806521
12.5,-9.901178,5864.2476,1.2009223,-0.58360165
12.6,-9.820899,6006.2607,1.1633228,-1.2425575
12.7,-10.176715,6150.0757,0.7142359,-0.71297354
12.8,-10.35582,6296.4805,0.3316109,-0.9591016
12.9,-10.569402,6444.7227,0.8377408,-0.5713275
13.0,-9.97005,6595.5356,0.4479176,-0.47862202
13.1,-10.377794,6749.6045,0.9976335,-0.4212198
13.2,-10.649996,6904.5527,0.7955355,0.21303122
13.3,-10.970334,7063.274,0.53273976,-0.44099984
13.4,-10.256367,7222.829,0.6854851,0.11379359
13.5,-10.919201,7386.0234,0.5788894,0.6140973
13.6,-10.763754,7551.32,0.39908636,0.46332914
13.7,-10.7977,7719.558,0.35212722,0.7697115
13.8,-10.830852,7889.4033,0.73873985,0.48626631
13.9,-11.068545,8062.3525,0.38492322,0.511628
14.0,-10.624153,8236.745,0.3394194,0.5790608
14.1,-11.153666,8414.909,0.21087241,0.847448
14.2,-11.197349,8594.724,0.39349148,0.71972704
14.3,-10.806631,8777.6875,-0.2116679,1.3433375
14.4,-11.366181,8963.326,0.02793185,1.4691905
14.5,-10.70906,9150.449,-0.57651514,1.1612968
14.6,-10.855975,9341.304,-0.5667198,1.544291
14.7,-11.0702,9534.19,-0.25317544,1.6823409
14.8,-10.513651,9730.397,-0.43443263,0.9492097
14.9,-10.453764,9928.444,-1.0240403,1.3196517
15.0,-10.163996,10130.1,-0.39713866,1.5384804
15.1,-10.199473,10333.685,-1.2180829,0.9586133
15.2,-10.041525,10540.921,-0.71792865,1.0512966
15.3,-10.656545,10749.86,-0.74304175,1.3044862
15.4,-9.815442,10961.599,-0.52748865,1.599299
15.5,-10.176103,11176.963,-0.8893374,1.0989943
15.6,-10.546731,11393.757,-0.45115846,1.1951724
15.7,-10.419992,11614.994,-0.60077935,0.798865
15.8,-10.334849,11837.633,-0.5586795,0.65214884
15.9,-9.507955,12063.77,-0.5186615,1.2075373
16.0,-10.096694,12293.153,-1.0439204,0.17828032
16.1,-9.494408,12524.818,-0.43282557,0.15452233
16.2,-9.0786495,12759.701,-0.86574566,0.63665503
16.3,-9.653328,12997.553,-0.5492411,0.7048677
16.4,-9.170202,13237.44,-0.6442872,0.071174696
16.5,-8.83345,13480.999,-1.0982226,0.40573832
16.6,-8.942419,13727.498,-0.6168434,-0.5040627
16.7,-8.851762,13977.258,-0.46240947,0.08824625
16.8,-9.31809,14229.567,-0.20308986,-0.26971114
16.9,-8.827155,14485.327,-0.5734846,-0.7778765
17.0,-8.762896,14743.678,0.012510774,-0.34185457
17.1,-9.468721,15005.629,0.25978062,-0.92185265
17.2,-9.28242,15270.401,-0.31538028,-1.3290695
17.3,-9.014794,15538.504,-0.17114887,-1.3094735
17.4,-8.922037,15809.019,-0.0690036,-0.78321683
17.5,-8.724152,16083.094,0.40303364,-1.1482681
17.6,-9.180596,16359.917,0.11209278,-1.6966827
17.7,-9.20465,16640.406,0.47160465,-1.2071645
17.8,-9.18424,16924.295,0.72455764,-1.0571138
17.9,-9.18841,17211.078,0.9576024,-0.9062073
18.0,-8.917294,17500.707,0.14277573,-0.94694
18.1,-9.165774,17794.691,0.7964585,-1.7364016
18.2,-9.067032,18090.887,0.75853693,-1.8376935
18.3,-9.293856,18390.559,1.2446785,-1.79416
18.4,-9.156197,18693.967,0.97968435,-1.1239156
18.5,-10.006774,19000.277,0.3496524,-1.2538527
18.6,-10.026179,19309.396,0.93131775,-1.0591209
18.7,-9.391486,19622.477,0.58863866,-1.4913173
18.8,-9.973465,19939.465,0.97092605,-1.0662085
18.9,-9.841713,20259.037,0.5100214,-0.9713054
19.0,-9.977879,20581.947,1.2019109,-0.62253374
19.1,-10.51331,20908.695,0.5401554,-1.125929
19.2,-10.426597,21238.584,0.9873981,-0.8675815
19.3,-10.517534,21571.766,1.0955231,-0.40464163
19.4,-10.045103,21909.213,0.74233645,0.04114835
19.5,-10.359586,22249.424,0.27578115,-0.10895491
19.6,-10.215675,22593.611,1.0941415,-0.12384014
19.7,-11.207533,22941.14,0.43505508,-0.107507244
19.8,-10.576704,23292.041,0.511715,0.15571484
19.9,-10.498281,23646.812,0.7061159,0.5348153
